staff_name,role,specialty,year,week,hours_worked
Dr. Zainab Omar,Registrar,Acute Care,2020,1,5
Dr. Zainab Omar,Registrar,Acute Care,2020,2,25
Dr. Zainab Omar,Registrar,Acute Care,2020,3,14
Dr. Zainab Omar,Registrar,Acute Care,2020,4,25
Dr. Zainab Omar,Registrar,Acute Care,2020,5,22
Dr. Zainab Omar,Registrar,Acute Care,2020,6,26
Dr. Zainab Omar,Registrar,Acute Care,2020,7,38
Dr. Zainab Omar,Registrar,Acute Care,2020,8,30
Dr. Zainab Omar,Registrar,Acute Care,2020,9,16
Dr. Zainab Omar,Registrar,Acute Care,2020,10,4
Dr. Zainab Omar,Registrar,Acute Care,2020,11,35
Dr. Zainab Omar,Registrar,Acute Care,2020,12,30
Dr. Zainab Omar,Registrar,Acute Care,2020,13,18
Dr. Zainab Omar,Registrar,Acute Care,2020,14,11
Dr. Zainab Omar,Registrar,Acute Care,2020,15,35
Dr. Zainab Omar,Registrar,Acute Care,2020,16,7
Dr. Zainab Omar,Registrar,Acute Care,2020,17,13
Dr. Zainab Omar,Registrar,Acute Care,2020,18,8
Dr. Zainab Omar,Registrar,Acute Care,2020,19,28
Dr. Zainab Omar,Registrar,Acute Care,2020,20,19
Dr. Zainab Omar,Registrar,Acute Care,2020,21,26
Dr. Zainab Omar,Registrar,Acute Care,2020,22,22
Dr. Zainab Omar,Registrar,Acute Care,2020,23,35
Dr. Zainab Omar,Registrar,Acute Care,2020,24,6
Dr. Zainab Omar,Registrar,Acute Care,2020,25,24
Dr. Zainab Omar,Registrar,Acute Care,2020,26,22
Dr. Zainab Omar,Registrar,Acute Care,2020,27,16
Dr. Zainab Omar,Registrar,Acute Care,2020,28,23
Dr. Zainab Omar,Registrar,Acute Care,2020,29,20
Dr. Zainab Omar,Registrar,Acute Care,2020,30,4
Dr. Zainab Omar,Registrar,Acute Care,2020,31,17
Dr. Zainab Omar,Registrar,Acute Care,2020,32,24
Dr. Zainab Omar,Registrar,Acute Care,2020,33,23
Dr. Zainab Omar,Registrar,Acute Care,2020,34,18
Dr. Zainab Omar,Registrar,Acute Care,2020,35,17
Dr. Zainab Omar,Registrar,Acute Care,2020,36,4
Dr. Zainab Omar,Registrar,Acute Care,2020,37,12
Dr. Zainab Omar,Registrar,Acute Care,2020,38,11
Dr. Zainab Omar,Registrar,Acute Care,2020,39,25
Dr. Zainab Omar,Registrar,Acute Care,2020,40,26
Dr. Zainab Omar,Registrar,Acute Care,2020,41,38
Dr. Zainab Omar,Registrar,Acute Care,2020,42,8
Dr. Zainab Omar,Registrar,Acute Care,2020,43,22
Dr. Zainab Omar,Registrar,Acute Care,2020,44,16
Dr. Zainab Omar,Registrar,Acute Care,2020,45,37
Dr. Zainab Omar,Registrar,Acute Care,2020,46,17
Dr. Zainab Omar,Registrar,Acute Care,2020,47,25
Dr. Zainab Omar,Registrar,Acute Care,2020,48,26
Dr. Zainab Omar,Registrar,Acute Care,2020,49,18
Dr. Zainab Omar,Registrar,Acute Care,2020,50,36
Dr. Zainab Omar,Registrar,Acute Care,2020,51,20
Dr. Zainab Omar,Registrar,Acute Care,2020,52,37
Dr. Zainab Omar,Registrar,Acute Care,2020,53,36
Dr. Zainab Omar,Registrar,Acute Care,2021,53,25
Dr. Zainab Omar,Registrar,Acute Care,2021,1,32
